Year,Region,Technology,Device,GB/month
2025,Gulf Cooperation Council (GCC) countries,All technologies,Smartphones,30.459
2024,Gulf Cooperation Council (GCC) countries,All technologies,Smartphones,28.822
2023,Gulf Cooperation Council (GCC) countries,All technologies,Smartphones,27.706
2022,Gulf Cooperation Council (GCC) countries,All technologies,Smartphones,24.357
2021,Gulf Cooperation Council (GCC) countries,All technologies,Smartphones,21.374
2020,Gulf Cooperation Council (GCC) countries,All technologies,Smartphones,18.158
2019,Gulf Cooperation Council (GCC) countries,All technologies,Smartphones,14.422
2018,Gulf Cooperation Council (GCC) countries,All technologies,Smartphones,10.246
2017,Gulf Cooperation Council (GCC) countries,All technologies,Smartphones,6.608
2025,Sub-Saharan Africa,All technologies,Smartphones,5.274
2025,Middle East & North Africa,All technologies,Smartphones,21.181
2025,"India, Nepal, Bhutan",All technologies,Smartphones,36.003
2025,South East Asia & Oceania,All technologies,Smartphones,20.692
2025,North East Asia,All technologies,Smartphones,22.761
2025,Central & Eastern Europe,All technologies,Smartphones,22.031
2025,Western Europe,All technologies,Smartphones,25.408
2025,North America,All technologies,Smartphones,24.708
2025,Latin America,All technologies,Smartphones,14.492
2025,Middle East & Africa,All technologies,Smartphones,13.486
2025,World Total,All technologies,Smartphones,21.242
2024,Sub-Saharan Africa,All technologies,Smartphones,4.994
2024,Middle East & North Africa,All technologies,Smartphones,18.749
2024,"India, Nepal, Bhutan",All technologies,Smartphones,32.97
2024,South East Asia & Oceania,All technologies,Smartphones,18.869
2024,North East Asia,All technologies,Smartphones,20.01
2024,Central & Eastern Europe,All technologies,Smartphones,19.72
2024,Western Europe,All technologies,Smartphones,22.31
2024,North America,All technologies,Smartphones,21.368
2024,Latin America,All technologies,Smartphones,12.948
2024,Middle East & Africa,All technologies,Smartphones,12.325
2024,World Total,All technologies,Smartphones,19.086
2023,Sub-Saharan Africa,All technologies,Smartphones,4.6
2022,Sub-Saharan Africa,All technologies,Smartphones,3.737
2021,Sub-Saharan Africa,All technologies,Smartphones,2.749
2020,Sub-Saharan Africa,All technologies,Smartphones,2.115
2019,Sub-Saharan Africa,All technologies,Smartphones,1.52
2018,Sub-Saharan Africa,All technologies,Smartphones,1.116
2017,Sub-Saharan Africa,All technologies,Smartphones,0.851
2023,"India, Nepal, Bhutan",All technologies,Smartphones,29.905
2023,Middle East & North Africa,All technologies,Smartphones,15.084
2023,South East Asia & Oceania,All technologies,Smartphones,16.933
2023,North East Asia,All technologies,Smartphones,18.692
2023,Central & Eastern Europe,All technologies,Smartphones,17.183
2023,Western Europe,All technologies,Smartphones,19.402
2023,North America,All technologies,Smartphones,19.169
2023,Latin America,All technologies,Smartphones,11.336
2023,Middle East & Africa,All technologies,Smartphones,10.639
2023,World Total,All technologies,Smartphones,17.332
2022,"India, Nepal, Bhutan",All technologies,Smartphones,26.56
2022,Middle East & North Africa,All technologies,Smartphones,11.747
2022,South East Asia & Oceania,All technologies,Smartphones,14.387
2022,North East Asia,All technologies,Smartphones,16.865
2022,Central & Eastern Europe,All technologies,Smartphones,14.332
2022,Western Europe,All technologies,Smartphones,16.645
2022,North America,All technologies,Smartphones,17.267
2022,Latin America,All technologies,Smartphones,9.352
2022,Middle East & Africa,All technologies,Smartphones,8.541
2022,World Total,All technologies,Smartphones,15.043
2021,"India, Nepal, Bhutan",All technologies,Smartphones,20.89
2021,Middle East & North Africa,All technologies,Smartphones,8.841
2021,South East Asia & Oceania,All technologies,Smartphones,10.308
2021,North East Asia,All technologies,Smartphones,14.476
2021,Central & Eastern Europe,All technologies,Smartphones,10.734
2021,Western Europe,All technologies,Smartphones,14.199
2021,North America,All technologies,Smartphones,14.729
2021,Latin America,All technologies,Smartphones,6.557
2021,Middle East & Africa,All technologies,Smartphones,6.379
2021,World Total,All technologies,Smartphones,12.094
2020,"India, Nepal, Bhutan",All technologies,Smartphones,15.633
2020,Middle East & North Africa,All technologies,Smartphones,6.164
2020,South East Asia & Oceania,All technologies,Smartphones,6.777
2020,North East Asia,All technologies,Smartphones,10.872
2020,Central & Eastern Europe,All technologies,Smartphones,7.652
2020,Western Europe,All technologies,Smartphones,11.163
2020,North America,All technologies,Smartphones,12.554
2020,Latin America,All technologies,Smartphones,5.032
2020,Middle East & Africa,All technologies,Smartphones,4.598
2020,World Total,All technologies,Smartphones,9.064
2019,"India, Nepal, Bhutan",All technologies,Smartphones,12.567
2019,Middle East & North Africa,All technologies,Smartphones,4.477
2019,South East Asia & Oceania,All technologies,Smartphones,4.686
2019,North East Asia,All technologies,Smartphones,7.529
2019,Central & Eastern Europe,All technologies,Smartphones,5.329
2019,Western Europe,All technologies,Smartphones,7.429
2019,North America,All technologies,Smartphones,10.233
2019,Latin America,All technologies,Smartphones,3.437
2019,Middle East & Africa,All technologies,Smartphones,3.404
2019,World Total,All technologies,Smartphones,6.592
2018,"India, Nepal, Bhutan",All technologies,Smartphones,8.131
2018,Middle East & North Africa,All technologies,Smartphones,3.172
2018,South East Asia & Oceania,All technologies,Smartphones,3.18
2018,North East Asia,All technologies,Smartphones,6.055
2018,Central & Eastern Europe,All technologies,Smartphones,4.069
2018,Western Europe,All technologies,Smartphones,5.343
2018,North America,All technologies,Smartphones,8.459
2018,Latin America,All technologies,Smartphones,2.56
2018,Middle East & Africa,All technologies,Smartphones,2.465
2018,World Total,All technologies,Smartphones,4.908
2017,"India, Nepal, Bhutan",All technologies,Smartphones,4.578
2017,South East Asia & Oceania,All technologies,Smartphones,1.981
2017,North East Asia,All technologies,Smartphones,2.574
2017,Central & Eastern Europe,All technologies,Smartphones,2.705
2017,Western Europe,All technologies,Smartphones,3.093
2017,North America,All technologies,Smartphones,5.911
2017,Latin America,All technologies,Smartphones,1.616
2017,Middle East & Africa,All technologies,Smartphones,1.477
2017,World Total,All technologies,Smartphones,2.7