Year,Region,Technology,Device,Metric,Unit,Value
2025.4,World Total,All technologies,All devices,YoY data growth,%,22
2025.4,World Total,All technologies,All devices,Data,EB/month,200.229
2025.3,World Total,All technologies,All devices,YoY data growth,%,20
2025.3,World Total,All technologies,All devices,Data,EB/month,188.382
2025.2,World Total,All technologies,All devices,YoY data growth,%,19
2025.2,World Total,All technologies,All devices,Data,EB/month,180.174
2025.1,World Total,All technologies,All devices,YoY data growth,%,19
2025.1,World Total,All technologies,All devices,Data,EB/month,171.598
2024.4,World Total,All technologies,All devices,YoY data growth,%,20
2024.4,World Total,All technologies,All devices,Data,EB/month,163.61
2024.3,World Total,All technologies,All devices,YoY data growth,%,21
2024.3,World Total,All technologies,All devices,Data,EB/month,157.16
2024.2,World Total,All technologies,All devices,YoY data growth,%,23
2024.2,World Total,All technologies,All devices,Data,EB/month,150.798
2024.1,World Total,All technologies,All devices,YoY data growth,%,25
2024.1,World Total,All technologies,All devices,Data,EB/month,144.526
2023.4,World Total,All technologies,All devices,YoY data growth,%,25
2023.4,World Total,All technologies,All devices,Data,EB/month,136.88
2023.3,World Total,All technologies,All devices,YoY data growth,%,26
2023.3,World Total,All technologies,All devices,Data,EB/month,130.151
2023.2,World Total,All technologies,All devices,YoY data growth,%,28
2023.2,World Total,All technologies,All devices,Data,EB/month,123.031
2023.1,World Total,All technologies,All devices,YoY data growth,%,30
2023.1,World Total,All technologies,All devices,Data,EB/month,116.04
2022.4,World Total,All technologies,All devices,YoY data growth,%,30
2022.4,World Total,All technologies,All devices,Data,EB/month,109.811
2022.3,World Total,All technologies,All devices,YoY data growth,%,33
2022.3,World Total,All technologies,All devices,Data,EB/month,103.311
2022.2,World Total,All technologies,All devices,YoY data growth,%,33
2022.2,World Total,All technologies,All devices,Data,EB/month,95.777
2022.1,World Total,All technologies,All devices,YoY data growth,%,35
2022.1,World Total,All technologies,All devices,Data,EB/month,89.315
2021.4,World Total,All technologies,All devices,YoY data growth,%,44
2021.4,World Total,All technologies,All devices,Data,EB/month,84.162
2021.3,World Total,All technologies,All devices,YoY data growth,%,42
2021.3,World Total,All technologies,All devices,Data,EB/month,77.81
2021.2,World Total,All technologies,All devices,YoY data growth,%,44
2021.2,World Total,All technologies,All devices,Data,EB/month,72.2
2021.1,World Total,All technologies,All devices,YoY data growth,%,46
2021.1,World Total,All technologies,All devices,Data,EB/month,66.138
2020.4,World Total,All technologies,All devices,YoY data growth,%,48
2020.4,World Total,All technologies,All devices,Data,EB/month,58.443
2020.3,World Total,All technologies,All devices,YoY data growth,%,50
2020.3,World Total,All technologies,All devices,Data,EB/month,54.794
2020.2,World Total,All technologies,All devices,YoY data growth,%,53
2020.2,World Total,All technologies,All devices,Data,EB/month,50.025
2020.1,World Total,All technologies,All devices,YoY data growth,%,56
2020.1,World Total,All technologies,All devices,Data,EB/month,45.164
2019.4,World Total,All technologies,All devices,YoY data growth,%,49
2019.4,World Total,All technologies,All devices,Data,EB/month,39.559
2019.3,World Total,All technologies,All devices,YoY data growth,%,68
2019.3,World Total,All technologies,All devices,Data,EB/month,36.493
2019.2,World Total,All technologies,All devices,YoY data growth,%,78
2019.2,World Total,All technologies,All devices,Data,EB/month,32.661
2019.1,World Total,All technologies,All devices,YoY data growth,%,82
2019.1,World Total,All technologies,All devices,Data,EB/month,29.021
2018.4,World Total,All technologies,All devices,YoY data growth,%,95
2018.4,World Total,All technologies,All devices,Data,EB/month,26.538
2018.3,World Total,All technologies,All devices,YoY data growth,%,86
2018.3,World Total,All technologies,All devices,Data,EB/month,21.783
2018.2,World Total,All technologies,All devices,YoY data growth,%,73
2018.2,World Total,All technologies,All devices,Data,EB/month,18.37
2018.1,World Total,All technologies,All devices,YoY data growth,%,65
2018.1,World Total,All technologies,All devices,Data,EB/month,15.944
2017.4,World Total,All technologies,All devices,YoY data growth,%,57
2017.4,World Total,All technologies,All devices,Data,EB/month,13.599
2017.3,World Total,All technologies,All devices,YoY data growth,%,65
2017.3,World Total,All technologies,All devices,Data,EB/month,11.691
2017.2,World Total,All technologies,All devices,YoY data growth,%,67
2017.2,World Total,All technologies,All devices,Data,EB/month,10.634
2017.1,World Total,All technologies,All devices,YoY data growth,%,70
2017.1,World Total,All technologies,All devices,Data,EB/month,9.682
2016.4,World Total,All technologies,All devices,YoY data growth,%,66
2016.4,World Total,All technologies,All devices,Data,EB/month,8.667
2016.3,World Total,All technologies,All devices,YoY data growth,%,52
2016.3,World Total,All technologies,All devices,Data,EB/month,7.089
2016.2,World Total,All technologies,All devices,YoY data growth,%,55
2016.2,World Total,All technologies,All devices,Data,EB/month,6.358
2016.1,World Total,All technologies,All devices,YoY data growth,%,60
2016.1,World Total,All technologies,All devices,Data,EB/month,5.712