Year,Region,Technology,Device,Million
2025,"India, Nepal, Bhutan",MBB,All devices,1022.263
2025,South East Asia & Oceania,MBB,All devices,1152.801
2025,North East Asia,MBB,All devices,2223.014
2025,Central & Eastern Europe,MBB,All devices,559.798
2025,Western Europe,MBB,All devices,553.554
2025,North America,MBB,All devices,455.919
2025,Latin America,MBB,All devices,707.754
2025,Middle East & Africa,MBB,All devices,1332.015
2024,"India, Nepal, Bhutan",MBB,All devices,946.205
2024,South East Asia & Oceania,MBB,All devices,1144.309
2024,North East Asia,MBB,All devices,2151.785
2024,Central & Eastern Europe,MBB,All devices,556.526
2024,Western Europe,MBB,All devices,548.477
2024,North America,MBB,All devices,447.376
2024,Latin America,MBB,All devices,689.181
2024,Middle East & Africa,MBB,All devices,1226.428
2023,"India, Nepal, Bhutan",MBB,All devices,895.697
2023,South East Asia & Oceania,MBB,All devices,1107.677
2023,North East Asia,MBB,All devices,2082.596
2023,Central & Eastern Europe,MBB,All devices,550.21
2023,Western Europe,MBB,All devices,543.152
2023,North America,MBB,All devices,437.696
2023,Latin America,MBB,All devices,668.925
2023,Middle East & Africa,MBB,All devices,1115.572
2022,"India, Nepal, Bhutan",MBB,All devices,819.118
2022,South East Asia & Oceania,MBB,All devices,1052.828
2022,North East Asia,MBB,All devices,2011.916
2022,Central & Eastern Europe,MBB,All devices,541.326
2022,Western Europe,MBB,All devices,537.726
2022,North America,MBB,All devices,425.551
2022,Latin America,MBB,All devices,652.093
2022,Middle East & Africa,MBB,All devices,1008.853
2021,"India, Nepal, Bhutan",MBB,All devices,793.345
2021,South East Asia & Oceania,MBB,All devices,1020.629
2021,North East Asia,MBB,All devices,1968.586
2021,Central & Eastern Europe,MBB,All devices,530.256
2021,Western Europe,MBB,All devices,525.1
2021,North America,MBB,All devices,398.747
2021,Latin America,MBB,All devices,637.704
2021,Middle East & Africa,MBB,All devices,897.717
2020,"India, Nepal, Bhutan",MBB,All devices,743.713
2020,South East Asia & Oceania,MBB,All devices,929.175
2020,North East Asia,MBB,All devices,1868.538
2020,Central & Eastern Europe,MBB,All devices,497.009
2020,Western Europe,MBB,All devices,506.288
2020,North America,MBB,All devices,379.471
2020,Latin America,MBB,All devices,598.029
2020,Middle East & Africa,MBB,All devices,839.71
2019,"India, Nepal, Bhutan",MBB,All devices,671.605
2019,South East Asia & Oceania,MBB,All devices,872.243
2019,North East Asia,MBB,All devices,1813.144
2019,Central & Eastern Europe,MBB,All devices,474.822
2019,Western Europe,MBB,All devices,495.938
2019,North America,MBB,All devices,380.772
2019,Latin America,MBB,All devices,579.399
2019,Middle East & Africa,MBB,All devices,753.283
2018,"India, Nepal, Bhutan",MBB,All devices,553.379
2018,South East Asia & Oceania,MBB,All devices,773.269
2018,North East Asia,MBB,All devices,1681.776
2018,Central & Eastern Europe,MBB,All devices,442.157
2018,Western Europe,MBB,All devices,469.246
2018,North America,MBB,All devices,375.575
2018,Latin America,MBB,All devices,540.733
2018,Middle East & Africa,MBB,All devices,671.806
2017,"India, Nepal, Bhutan",MBB,All devices,420.205
2017,South East Asia & Oceania,MBB,All devices,738.454
2017,North East Asia,MBB,All devices,1515.012
2017,Central & Eastern Europe,MBB,All devices,405.47
2017,Western Europe,MBB,All devices,455.891
2017,North America,MBB,All devices,364.721
2017,Latin America,MBB,All devices,503.898
2017,Middle East & Africa,MBB,All devices,583.18
2016,"India, Nepal, Bhutan",MBB,All devices,276.416
2016,South East Asia & Oceania,MBB,All devices,597.096
2016,North East Asia,MBB,All devices,1344.532
2016,Central & Eastern Europe,MBB,All devices,347.608
2016,Western Europe,MBB,All devices,439.054
2016,North America,MBB,All devices,366.939
2016,Latin America,MBB,All devices,437.263
2016,Middle East & Africa,MBB,All devices,482.96
2015,"India, Nepal, Bhutan",MBB,All devices,142.046
2015,South East Asia & Oceania,MBB,All devices,462.893
2015,North East Asia,MBB,All devices,1083.825
2015,Central & Eastern Europe,MBB,All devices,291.009
2015,Western Europe,MBB,All devices,413.354
2015,North America,MBB,All devices,354.247
2015,Latin America,MBB,All devices,377.692
2015,Middle East & Africa,MBB,All devices,362.399
2014,"India, Nepal, Bhutan",MBB,All devices,92.687
2014,South East Asia & Oceania,MBB,All devices,350.639
2014,North East Asia,MBB,All devices,850.214
2014,Central & Eastern Europe,MBB,All devices,241.773
2014,Western Europe,MBB,All devices,388.802
2014,North America,MBB,All devices,339.378
2014,Latin America,MBB,All devices,288.823
2014,Middle East & Africa,MBB,All devices,272.285
2013,"India, Nepal, Bhutan",MBB,All devices,59.161
2013,South East Asia & Oceania,MBB,All devices,239.628
2013,North East Asia,MBB,All devices,688.288
2013,Central & Eastern Europe,MBB,All devices,195.883
2013,Western Europe,MBB,All devices,354.541
2013,North America,MBB,All devices,313.844
2013,Latin America,MBB,All devices,194.53
2013,Middle East & Africa,MBB,All devices,183.315
2012,"India, Nepal, Bhutan",MBB,All devices,39.267
2012,South East Asia & Oceania,MBB,All devices,138.165
2012,North East Asia,MBB,All devices,470.081
2012,Central & Eastern Europe,MBB,All devices,143.944
2012,Western Europe,MBB,All devices,284.964
2012,North America,MBB,All devices,290.208
2012,Latin America,MBB,All devices,130.459
2012,Middle East & Africa,MBB,All devices,115.065